Date,Week_Number,Product_Name,Daily_Quantity_Sold,Weekly_Total_Quantity_Per_Product,Unit_Price,Revenue_Generated,Estimated_Profit,Weekly_Total_Revenue,Weekly_Total_Profit,Profit_Margin_Percentage,Expense_Allocated,Net_Profit_After_Expense,Net_Profit_Margin_%
2024-01-01,1,Espresso,25,147,120.0,3000.0,1571.398138380778,17640.0,9196.08593316287,0.5237993794602593,363.84260217714717,2636.157397822853,87.87191326076177
2024-01-01,1,Cappuccino,8,103,180.0,1440.0,444.60542063222414,18540.0,8421.48407269732,0.3087537643279334,174.64444904503065,1265.3555509549694,87.87191326076177
2024-01-01,1,Latte,5,118,200.0,1000.0,396.26026142919176,23600.0,9703.00842934828,0.3962602614291917,121.28086739238239,878.7191326076177,87.87191326076177
2024-01-01,1,Americano,28,99,150.0,4200.0,1588.1197850787694,14850.0,7307.936151487507,0.3781237583520879,509.379643048006,3690.620356951994,87.87191326076176
2024-01-01,1,Mocha,13,126,220.0,2860.0,1595.2076853781766,27720.0,14885.241265334878,0.5577649249574044,346.86328074221365,2513.1367192577864,87.87191326076176
2024-01-01,1,Cold Coffee,12,109,250.0,3000.0,1610.5344617940568,27250.0,13384.443839220088,0.536844820598019,363.84260217714717,2636.157397822853,87.87191326076177
2024-01-01,1,Sandwich,12,134,180.0,2160.0,1322.487753184863,24120.0,9281.569827115014,0.6122628486966959,261.96667356754597,1898.033326432454,87.87191326076176
2024-01-01,1,Burger,9,113,220.0,1980.0,654.2486110121854,24860.0,10029.686874718069,0.3304285914202956,240.13611743691715,1739.8638825630828,87.87191326076176
2024-01-01,1,Pasta,28,144,300.0,8400.0,3760.450149874695,43200.0,21456.74418568832,0.4476726368898446,1018.759286096012,7381.240713903988,87.87191326076176
2024-01-01,1,Brownie,8,100,140.0,1120.0,347.6805100197236,14000.0,5929.056975363246,0.3104290268033246,135.83457147946825,984.1654285205318,87.87191326076177
2024-01-02,1,Espresso,26,147,120.0,3120.0,1174.7526684855347,17640.0,9196.08593316287,0.3765232911812611,378.3963062642331,2741.6036937357667,87.87191326076176
2024-01-02,1,Cappuccino,28,103,180.0,5040.0,2403.4467282143314,18540.0,8421.48407269732,0.4768743508361768,611.2555716576073,4428.744428342393,87.87191326076177
2024-01-02,1,Latte,22,118,200.0,4400.0,1360.86539331315,23600.0,9703.00842934828,0.3092875893893522,533.6358165264825,3866.3641834735176,87.87191326076177
2024-01-02,1,Americano,7,99,150.0,1050.0,388.0728366273433,14850.0,7307.936151487507,0.3695931777403269,127.3449107620015,922.6550892379985,87.87191326076176
2024-01-02,1,Mocha,23,126,220.0,5060.0,2668.9453393075355,27720.0,14885.241265334878,0.5274595532228331,613.6811890054549,4446.318810994545,87.87191326076176
2024-01-02,1,Cold Coffee,18,109,250.0,4500.0,2208.2828319500663,27250.0,13384.443839220088,0.4907295182111258,545.7639032657208,3954.2360967342793,87.87191326076176
2024-01-02,1,Sandwich,6,134,180.0,1080.0,407.3265551313834,24120.0,9281.569827115014,0.3771542177142438,130.98333678377298,949.016663216227,87.87191326076176
2024-01-02,1,Burger,5,113,220.0,1100.0,556.8672882922249,24860.0,10029.686874718069,0.5062429893565681,133.40895413162062,966.5910458683794,87.87191326076177
2024-01-02,1,Pasta,7,144,300.0,2100.0,1224.9313856582023,43200.0,21456.74418568832,0.5833006598372393,254.689821524003,1845.310178475997,87.87191326076176
2024-01-02,1,Brownie,11,100,140.0,1540.0,465.5028314664749,14000.0,5929.056975363246,0.3022745658873213,186.77253578426888,1353.227464215731,87.87191326076176
2024-01-03,1,Espresso,12,147,120.0,1440.0,838.1329029237353,17640.0,9196.08593316287,0.5820367381414828,174.64444904503065,1265.3555509549694,87.87191326076177
2024-01-03,1,Cappuccino,21,103,180.0,3780.0,2057.638419569424,18540.0,8421.48407269732,0.5443487882458794,458.44167874320544,3321.5583212567944,87.87191326076176
2024-01-03,1,Latte,24,118,200.0,4800.0,2011.6208677502264,23600.0,9703.00842934828,0.4190876807812971,582.1481634834355,4217.851836516565,87.87191326076176
2024-01-03,1,Americano,5,99,150.0,750.0,265.81336870059266,14850.0,7307.936151487507,0.3544178249341235,90.96065054428679,659.0393494557132,87.87191326076177
2024-01-03,1,Mocha,22,126,220.0,4840.0,3073.518944318288,27720.0,14885.241265334878,0.6350245752723734,586.9993981791308,4253.00060182087,87.87191326076177
2024-01-03,1,Cold Coffee,11,109,250.0,2750.0,1148.9722496709032,27250.0,13384.443839220088,0.4178080907894194,333.5223853290516,2416.4776146709482,87.87191326076176
2024-01-03,1,Sandwich,27,134,180.0,4860.0,1615.7606795896315,24120.0,9281.569827115014,0.3324610451830517,589.4250155269784,4270.574984473022,87.87191326076176
2024-01-03,1,Burger,25,113,220.0,5500.0,1836.179025404418,24860.0,10029.686874718069,0.3338507318917124,667.0447706581032,4832.9552293418965,87.87191326076176
2024-01-03,1,Pasta,27,144,300.0,8100.0,4832.646528595049,43200.0,21456.74418568832,0.596623028221611,982.3750258782974,7117.6249741217025,87.87191326076176
2024-01-03,1,Brownie,22,100,140.0,3080.0,1574.8166618135083,14000.0,5929.056975363246,0.5113041109784119,373.54507156853776,2706.454928431462,87.87191326076176
2024-01-04,1,Espresso,18,147,120.0,2160.0,1258.1889745954315,17640.0,9196.08593316287,0.5824948956460331,261.96667356754597,1898.033326432454,87.87191326076176
2024-01-04,1,Cappuccino,12,103,180.0,2160.0,1199.6772307405265,18540.0,8421.48407269732,0.5554061253428363,261.96667356754597,1898.033326432454,87.87191326076176
2024-01-04,1,Latte,19,118,200.0,3800.0,1853.183361634752,23600.0,9703.00842934828,0.4876798320091453,460.86729609105305,3339.132703908947,87.87191326076176
2024-01-04,1,Americano,23,99,150.0,3450.0,2210.03728500509,14850.0,7307.936151487507,0.6405905173927797,418.4189925037192,3031.581007496281,87.87191326076177
